college_name,college_code,specialty,category,cutoff_rank,year,counselling_body,degree,round,state,college_type,quota
"PMS College of Dental Sciences & Reseach Centre, Vattapara, TVPM.",,PEDIATRIC AND PREVENTIVE DENTISTRY,NRI,13793,2025,Kerala CEE,MDS,Round 1,Kerala,Private,NRI
"KMCT Dental College, Kozhikode.",,PERIODONTOLOGY,EZHAVA,13840,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"Sri. Sankara Dental College, Varkala",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,NRI,13880,2025,Kerala CEE,MDS,Round 1,Kerala,Private,NRI
"Malabar Dental College, Malappuram.",,ORAL MEDICINE AND RADIOLOGY,STATE MERIT,13966,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"PMS College of Dental Sciences & Reseach Centre, Vattapara, TVPM.",,ORAL MEDICINE AND RADIOLOGY,STATE MERIT,14196,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"MES Dental College, Malappuram.",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,SCHEDULED TRIBE,14324,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"Annoor Dental College, Ernakulam.",,PERIODONTOLOGY,BACKWARD HINDU,14765,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"Mar Baselios Dental College, Ernakulam.",,ORAL MEDICINE AND RADIOLOGY,SCHEDULED CASTE,14870,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"PMS College of Dental Sciences & Reseach Centre, Vattapara, TVPM.",,ORAL PATHOLOGY AND MICROBIOLOGY,STATE MERIT,14963,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"PMS College of Dental Sciences & Reseach Centre, Vattapara, TVPM.",,ORAL MEDICINE AND RADIOLOGY,SCHEDULED CASTE,15270,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"KMCT Dental College, Kozhikode.",,ORAL MEDICINE AND RADIOLOGY,BACKWARD HINDU,15769,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
"Malabar Dental College, Malappuram.",,CONSERVATIVE DENTISTRY AND ENDODONTICS,NRI,15939,2025,Kerala CEE,MDS,Round 1,Kerala,Private,NRI
"KMCT Dental College, Kozhikode.",,ORAL PATHOLOGY AND MICROBIOLOGY,STATE MERIT,16649,2025,Kerala CEE,MDS,Round 1,Kerala,Private,State Quota
