college_name,college_code,specialty,category,cutoff_rank,year,counselling_body,degree,round,state,college_type,quota
"- - - - Management/ Paid Seats Sharad Pawar Dental College and Hospital, Wardha",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,NO,5236,2025,MCC,MDS,Round 2,Maharashtra,Government,
"- - - - Management/ Paid Seats Santosh Dentall College and Hsopital, Ghaziabad",,PEDIATRIC AND PREVENTIVE DENTISTRY,OPEN GENERAL,5305,2025,MCC,MDS,Round 2,Uttar Pradesh,Government,
"Jain Minority K M Shah Dental College, SumanDeep Vidyapeeth",,CONSERVATIVE DENTISTRY AND ENDODONTICS,NO,5394,2025,MCC,MDS,Round 2,,Government,
- - - - - - No Upgradation 1009 5445 Manageme nt/Paid Seats Manipal College of Dental Science,,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,REPORTED,5443,2025,MCC,MDS,Round 2,,Government,
- - - - - - Did not opt for Upgradation. 1018 5527 Manageme nt/Paid Seats SRM Dental College,,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,REPORTED,5516,2025,MCC,MDS,Round 2,,Government,
- - - - - - Did not opt for Upgradation. 1022 5553 Manageme nt/Paid Seats SRM Dental College,,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,OPEN OBC,5550,2025,MCC,MDS,Round 2,Maharashtra,Government,
- - - - - - Did not fill up fresh choices. 1030 5605 Non- Resident Indian AB Shetty Memorial Inst. of Dental Sce.,,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,REPORTED,5600,2025,MCC,MDS,Round 2,,Government,
- - - - - - Did not opt for Upgradation. 1041 5685 Manageme nt/Paid Seats Thaimoogambigai Dental College and Hsopt. Chennai,,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,NOT,5680,2025,MCC,MDS,Round 2,,Government,
- - - - - - No Upgradation 1056 5845 Manageme nt/Paid Seats SRM Dental College,,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,REPORTED,5819,2025,MCC,MDS,Round 2,,Government,
"- - - - Management/ Paid Seats Yenepoya Dental College, Yenepoya",,PROSTHODONTICS AND CROWN & BRIDGE,OPEN GENERAL,5905,2025,MCC,MDS,Round 2,Karnataka,Government,
"Management/ Paid Seats Manipal College of Dental Science, Mangalore",,ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,REPORTED,5915,2025,MCC,MDS,Round 2,,Government,
"- - - - Management/ Paid Seats BVDU Dental College and Hospital, Navi Mumbai",,CONSERVATIVE DENTISTRY AND ENDODONTICS,OPEN GENERAL,6054,2025,MCC,MDS,Round 2,Maharashtra,Government,
"- - - - Management/ Paid Seats Indira Gandhi Institute of Dental Sciences, SBV",,CONSERVATIVE DENTISTRY AND ENDODONTICS,OPEN GENERAL,6089,2025,MCC,MDS,Round 2,Puducherry,Government,
"- - - - - - Did not opt for Upgradation. 1086 6111 Manageme nt/Paid Seats Indira Gandhi Institute of Dental Sciences, SBV",,CONSERVATIVE DENTISTRY AND ENDODONTICS,OPEN GENERAL,6097,2025,MCC,MDS,Round 2,Maharashtra,Government,
